Ролик,Месяц,Тема,"Длительность, сек",Крючок в первые 3 сек,Просмотры,Сохранения,Репосты,Подписки
Рилс 1,2026-05,Утренний ритуал,60,история,94852,835,1798,544
Рилс 2,2026-05,Утренний ритуал,22,история,116136,1545,1312,485
Рилс 3,2026-07,Разбор анализов,22,вопрос,177755,3441,1134,1046
Рилс 4,2026-05,Утренний ритуал,22,провокация,34956,1040,595,157
Рилс 5,2026-04,Разбор анализов,45,цифра,183827,4890,833,1099
Рилс 6,2026-05,Мифы,60,вопрос,288627,3752,2951,700
Рилс 7,2026-06,Личное,30,без крючка,100090,1026,1110,375
Рилс 8,2026-06,Сон,45,вопрос,392377,7278,7535,1160
Рилс 9,2026-08,Тренировки,45,цифра,174783,4021,1022,675
Рилс 10,2026-04,Тренировки,30,провокация,118472,3380,1258,395
Рилс 11,2026-07,Питание,90,цифра,158731,2796,1315,412
Рилс 12,2026-04,Стресс,30,цифра,147076,3015,1186,475
Рилс 13,2026-03,Сон,90,без крючка,77891,905,878,125
Рилс 14,2026-06,Стресс,30,вопрос,251893,5098,3125,1089
Рилс 15,2026-06,Сон,30,цифра,279033,5125,1469,1583
Рилс 16,2026-08,Личное,90,цифра,204042,5110,2378,1033
Рилс 17,2026-03,Добавки,22,вопрос,54534,638,768,288
Рилс 18,2026-03,Питание,90,провокация,20000,565,85,85
Рилс 19,2026-05,Тренировки,15,без крючка,92099,932,1604,324
Рилс 20,2026-08,Тренировки,15,провокация,142692,3112,1430,251
Рилс 21,2026-05,Разбор анализов,15,вопрос,648796,16609,4028,1073
Рилс 22,2026-06,Личное,45,провокация,285828,7582,1384,769
Рилс 23,2026-03,Личное,60,без крючка,105997,1622,1125,572
Рилс 24,2026-04,Добавки,22,цифра,207795,2696,2451,889
Рилс 25,2026-04,Стресс,30,история,249300,5005,3603,1038
Рилс 26,2026-08,Разбор анализов,30,цифра,178840,4656,2660,557
Рилс 27,2026-04,Утренний ритуал,45,вопрос,197849,4424,3150,318
Рилс 28,2026-08,Мифы,90,вопрос,323753,5466,5264,1363
Рилс 29,2026-03,Разбор анализов,30,вопрос,410020,8708,5089,2057
Рилс 30,2026-08,Утренний ритуал,45,без крючка,102109,2923,1135,230
Рилс 31,2026-03,Личное,45,история,229774,1961,4332,1322
Рилс 32,2026-05,Стресс,45,вопрос,211431,5709,2696,223
Рилс 33,2026-04,Гормоны,45,без крючка,252357,3142,2701,685
Рилс 34,2026-06,Мифы,60,цифра,229732,4285,1543,1325
Рилс 35,2026-08,Утренний ритуал,15,цифра,187817,4593,3550,553
Рилс 36,2026-05,Разбор анализов,90,цифра,327194,4965,6278,1520
Рилс 37,2026-07,Питание,90,провокация,144820,2788,1819,697
Рилс 38,2026-06,Разбор анализов,60,вопрос,326159,2811,5110,1506
Рилс 39,2026-05,Добавки,30,история,227322,6147,2212,658
Рилс 40,2026-04,Личное,90,история,323138,9276,3901,1570
Рилс 41,2026-04,Гормоны,90,вопрос,51796,677,751,86
Рилс 42,2026-04,Сон,30,история,73403,1981,1244,318
Рилс 43,2026-08,Мифы,90,без крючка,107618,2544,481,526
Рилс 44,2026-05,Тренировки,90,цифра,27997,432,427,124
Рилс 45,2026-06,Стресс,15,без крючка,153347,1232,1743,909
Рилс 46,2026-03,Мифы,45,цифра,478473,6541,8560,521
Рилс 47,2026-04,Утренний ритуал,60,история,138914,2977,1668,503
Рилс 48,2026-05,Сон,30,без крючка,172534,2758,1502,1017
Рилс 49,2026-05,Гормоны,45,история,437257,12000,5784,1967
Рилс 50,2026-08,Стресс,15,вопрос,190573,1564,799,481
Рилс 51,2026-06,Добавки,30,вопрос,189098,2765,1821,431
Рилс 52,2026-07,Гормоны,60,цифра,263653,5942,2225,442
Рилс 53,2026-06,Разбор анализов,22,провокация,520423,15580,7459,1225
Рилс 54,2026-03,Питание,15,провокация,320179,5492,4597,1625
Рилс 55,2026-03,Стресс,30,история,342950,9099,1701,1477
Рилс 56,2026-06,Стресс,90,вопрос,78986,935,727,126
Рилс 57,2026-08,Стресс,15,без крючка,108315,2614,1875,175
Рилс 58,2026-07,Гормоны,30,история,101694,1752,1032,226
Рилс 59,2026-08,Мифы,60,история,393016,7130,1843,1942
Рилс 60,2026-08,Мифы,22,без крючка,260302,7406,1081,823
