Месяц,Позиция,Категория,Канал,"Продано, шт","Цена, ₽","Выручка, ₽","Возвраты, шт"
2025-09,Худи oversize,худи,Сайт,18,4900,88200,0
2025-09,Худи oversize,худи,Wildberries,46,4900,225400,3
2025-09,Худи oversize,худи,Ozon,21,4900,102900,1
2025-09,Худи oversize,худи,Шоурум,9,4900,44100,0
2025-09,Худи zip,худи,Сайт,22,5400,118800,0
2025-09,Худи zip,худи,Wildberries,38,5400,205200,4
2025-09,Худи zip,худи,Ozon,23,5400,124200,2
2025-09,Худи zip,худи,Шоурум,12,5400,64800,0
2025-09,Футболка базовая,футболки,Сайт,24,1900,45600,0
2025-09,Футболка базовая,футболки,Wildberries,47,1900,89300,1
2025-09,Футболка базовая,футболки,Ozon,21,1900,39900,2
2025-09,Футболка базовая,футболки,Шоурум,10,1900,19000,0
2025-09,Футболка принт,футболки,Сайт,20,2400,48000,0
2025-09,Футболка принт,футболки,Wildberries,39,2400,93600,4
2025-09,Футболка принт,футболки,Ozon,19,2400,45600,0
2025-09,Футболка принт,футболки,Шоурум,12,2400,28800,0
2025-09,Свитшот,свитшоты,Сайт,18,4200,75600,0
2025-09,Свитшот,свитшоты,Wildberries,27,4200,113400,2
2025-09,Свитшот,свитшоты,Ozon,20,4200,84000,0
2025-09,Свитшот,свитшоты,Шоурум,9,4200,37800,0
2025-09,Брюки карго,брюки,Сайт,17,5900,100300,0
2025-09,Брюки карго,брюки,Wildberries,42,5900,247800,4
2025-09,Брюки карго,брюки,Ozon,20,5900,118000,1
2025-09,Брюки карго,брюки,Шоурум,11,5900,64900,0
2025-09,Шорты,шорты,Сайт,12,2900,34800,0
2025-09,Шорты,шорты,Wildberries,34,2900,98600,2
2025-09,Шорты,шорты,Ozon,23,2900,66700,1
2025-09,Шорты,шорты,Шоурум,10,2900,29000,0
2025-09,Кепка,аксессуары,Сайт,19,1500,28500,0
2025-09,Кепка,аксессуары,Wildberries,33,1500,49500,2
2025-09,Кепка,аксессуары,Ozon,18,1500,27000,0
2025-09,Кепка,аксессуары,Шоурум,9,1500,13500,0
2025-09,Шапка бини,аксессуары,Сайт,11,1700,18700,0
2025-09,Шапка бини,аксессуары,Wildberries,33,1700,56100,3
2025-09,Шапка бини,аксессуары,Ozon,27,1700,45900,1
2025-09,Шапка бини,аксессуары,Шоурум,8,1700,13600,0
2025-09,Костюм спорт,костюмы,Сайт,22,8900,195800,0
2025-09,Костюм спорт,костюмы,Wildberries,41,8900,364900,1
2025-09,Костюм спорт,костюмы,Ozon,31,8900,275900,2
2025-09,Костюм спорт,костюмы,Шоурум,8,8900,71200,0
2025-10,Худи oversize,худи,Сайт,18,4900,88200,0
2025-10,Худи oversize,худи,Wildberries,33,4900,161700,0
2025-10,Худи oversize,худи,Ozon,27,4900,132300,1
2025-10,Худи oversize,худи,Шоурум,9,4900,44100,0
2025-10,Худи zip,худи,Сайт,13,5400,70200,0
2025-10,Худи zip,худи,Wildberries,43,5400,232200,2
2025-10,Худи zip,худи,Ozon,28,5400,151200,1
2025-10,Худи zip,худи,Шоурум,9,5400,48600,0
2025-10,Футболка базовая,футболки,Сайт,27,1900,51300,0
2025-10,Футболка базовая,футболки,Wildberries,32,1900,60800,1
2025-10,Футболка базовая,футболки,Ozon,24,1900,45600,1
2025-10,Футболка базовая,футболки,Шоурум,11,1900,20900,0
