Месяц,Фидер,"Отпуск в сеть, кВт·ч","Полезный отпуск, кВт·ч","Потери, кВт·ч","Потери, %","Отключения, шт"
2025-09,Фидер 101,805129,731735,73394,9.12,2
2025-09,Фидер 102,886294,823680,62614,7.06,1
2025-09,Фидер 103,825066,757574,67492,8.18,3
2025-09,Фидер 104,707229,652400,54829,7.75,2
2025-09,Фидер 105,774742,722420,52322,6.75,1
2025-09,Фидер 201,762081,711175,50906,6.68,3
2025-09,Фидер 202,832384,763246,69138,8.31,2
2025-09,Фидер 203,828738,757133,71605,8.64,1
2025-09,Фидер 204,811606,697071,114535,14.11,4
2025-09,Фидер 205,790547,739056,51491,6.51,2
2025-10,Фидер 101,820486,762152,58334,7.11,0
2025-10,Фидер 102,912322,836057,76265,8.36,2
2025-10,Фидер 103,966249,902175,64074,6.63,2
2025-10,Фидер 104,933181,858977,74204,7.95,0
2025-10,Фидер 105,909808,829446,80362,8.83,2
2025-10,Фидер 201,1104151,1027102,77049,6.98,3
2025-10,Фидер 202,948088,864559,83529,8.81,2
2025-10,Фидер 203,952367,880421,71946,7.55,3
2025-10,Фидер 204,1008788,843860,164928,16.35,0
2025-10,Фидер 205,918193,854907,63286,6.89,3
2025-11,Фидер 101,1048285,962332,85953,8.2,4
2025-11,Фидер 102,1173066,1081275,91791,7.82,4
2025-11,Фидер 103,1226124,1126636,99488,8.11,2
2025-11,Фидер 104,1131218,1035981,95237,8.42,0
2025-11,Фидер 105,1130335,1049293,81042,7.17,4
2025-11,Фидер 201,1024765,956866,67899,6.63,2
2025-11,Фидер 202,1064954,989303,75651,7.1,4
2025-11,Фидер 203,1147727,1048492,99235,8.65,2
2025-11,Фидер 204,1076325,930840,145485,13.52,1
2025-11,Фидер 205,1098524,1010850,87674,7.98,3
2025-12,Фидер 101,1183459,1104928,78531,6.64,0
2025-12,Фидер 102,1115022,1012318,102704,9.21,2
2025-12,Фидер 103,1121615,1037677,83938,7.48,3
2025-12,Фидер 104,1122439,1043856,78583,7.0,1
2025-12,Фидер 105,1207846,1113213,94633,7.83,3
2025-12,Фидер 201,1060463,975926,84537,7.97,3
2025-12,Фидер 202,1127877,1027510,100367,8.9,2
2025-12,Фидер 203,1029404,946642,82762,8.04,3
2025-12,Фидер 204,1075301,898130,177171,16.48,0
2025-12,Фидер 205,1102409,1020832,81577,7.4,3
2026-01,Фидер 101,1072208,996595,75613,7.05,1
2026-01,Фидер 102,1038056,950158,87898,8.47,0
2026-01,Фидер 103,1155649,1061480,94169,8.15,0
2026-01,Фидер 104,970533,895710,74823,7.71,3
2026-01,Фидер 105,1138560,1045837,92723,8.14,2
2026-01,Фидер 201,1061814,988928,72886,6.86,2
2026-01,Фидер 202,1022063,926427,95636,9.36,3
2026-01,Фидер 203,1151749,1062236,89513,7.77,4
