Объект,Технология,"Площадь, м²",Месяц старта,Статья,"Смета, ₽","Факт, ₽","Отклонение, ₽"
Объект 1,Каркас,120,2025-10,Фундамент,271920,283871,11951
Объект 1,Каркас,120,2025-10,Стены,174255,190222,15967
Объект 1,Каркас,120,2025-10,Кровля,233751,233068,-683
Объект 1,Каркас,120,2025-10,Окна и двери,195256,190348,-4908
Объект 1,Каркас,120,2025-10,Инженерка,198036,256464,58428
Объект 1,Каркас,120,2025-10,Отделка,159153,169023,9870
Объект 1,Каркас,120,2025-10,Работы,264502,260774,-3728
Объект 2,Брус,140,2025-11,Фундамент,268903,282505,13602
Объект 2,Брус,140,2025-11,Стены,224296,219460,-4836
Объект 2,Брус,140,2025-11,Кровля,284192,318857,34665
Объект 2,Брус,140,2025-11,Окна и двери,233776,259470,25694
Объект 2,Брус,140,2025-11,Инженерка,292885,328836,35951
Объект 2,Брус,140,2025-11,Отделка,257394,298770,41376
Объект 2,Брус,140,2025-11,Работы,192589,209046,16457
Объект 3,Брус,110,2026-05,Фундамент,231864,234360,2496
Объект 3,Брус,110,2026-05,Стены,181531,200038,18507
Объект 3,Брус,110,2026-05,Кровля,222900,219189,-3711
Объект 3,Брус,110,2026-05,Окна и двери,224606,255495,30889
Объект 3,Брус,110,2026-05,Инженерка,214854,245265,30411
Объект 3,Брус,110,2026-05,Отделка,175363,224079,48716
Объект 3,Брус,110,2026-05,Работы,197151,204970,7819
Объект 4,Газобетон,140,2025-11,Фундамент,267491,296358,28867
Объект 4,Газобетон,140,2025-11,Стены,193870,196514,2644
Объект 4,Газобетон,140,2025-11,Кровля,303973,296945,-7028
Объект 4,Газобетон,140,2025-11,Окна и двери,226895,222000,-4895
Объект 4,Газобетон,140,2025-11,Инженерка,319015,417526,98511
Объект 4,Газобетон,140,2025-11,Отделка,287549,304122,16573
Объект 4,Газобетон,140,2025-11,Работы,253221,261228,8007
Объект 5,Каркас,90,2025-11,Фундамент,192360,193043,683
Объект 5,Каркас,90,2025-11,Стены,160530,168732,8202
Объект 5,Каркас,90,2025-11,Кровля,151584,157306,5722
Объект 5,Каркас,90,2025-11,Окна и двери,168267,194296,26029
Объект 5,Каркас,90,2025-11,Инженерка,154645,203966,49321
Объект 5,Каркас,90,2025-11,Отделка,118305,140541,22236
Объект 5,Каркас,90,2025-11,Работы,204883,236379,31496
Объект 6,Каркас,160,2026-01,Фундамент,298030,317280,19250
Объект 6,Каркас,160,2026-01,Стены,358753,407093,48340
Объект 6,Каркас,160,2026-01,Кровля,238212,257847,19635
Объект 6,Каркас,160,2026-01,Окна и двери,285783,306934,21151
Объект 6,Каркас,160,2026-01,Инженерка,258533,329009,70476
Объект 6,Каркас,160,2026-01,Отделка,223677,281478,57801
Объект 6,Каркас,160,2026-01,Работы,254298,291521,37223
Объект 7,Газобетон,90,2026-03,Фундамент,203456,221153,17697
Объект 7,Газобетон,90,2026-03,Стены,185950,186350,400
Объект 7,Газобетон,90,2026-03,Кровля,120807,127046,6239
Объект 7,Газобетон,90,2026-03,Окна и двери,144047,141165,-2882
Объект 7,Газобетон,90,2026-03,Инженерка,179471,226974,47503
Объект 7,Газобетон,90,2026-03,Отделка,159980,195921,35941
Объект 7,Газобетон,90,2026-03,Работы,191453,188971,-2482
Объект 8,Газобетон,140,2025-11,Фундамент,251803,255900,4097
Объект 8,Газобетон,140,2025-11,Стены,256362,286115,29753
Объект 8,Газобетон,140,2025-11,Кровля,297541,327220,29679
Объект 8,Газобетон,140,2025-11,Окна и двери,259757,285832,26075
Объект 8,Газобетон,140,2025-11,Инженерка,288182,351771,63589
Объект 8,Газобетон,140,2025-11,Отделка,252098,282635,30537
Объект 8,Газобетон,140,2025-11,Работы,183290,200525,17235
Объект 9,Брус,160,2025-11,Фундамент,346003,386386,40383
Объект 9,Брус,160,2025-11,Стены,221454,234858,13404
Объект 9,Брус,160,2025-11,Кровля,315135,359709,44574
Объект 9,Брус,160,2025-11,Окна и двери,221504,229010,7506
Объект 9,Брус,160,2025-11,Инженерка,279458,326559,47101
Объект 9,Брус,160,2025-11,Отделка,249548,296191,46643
Объект 9,Брус,160,2025-11,Работы,263530,279010,15480
Объект 10,Каркас,140,2026-02,Фундамент,255636,265913,10277
Объект 10,Каркас,140,2026-02,Стены,257205,293451,36246
Объект 10,Каркас,140,2026-02,Кровля,236488,248224,11736
Объект 10,Каркас,140,2026-02,Окна и двери,247483,246487,-996
Объект 10,Каркас,140,2026-02,Инженерка,183757,240819,57062
Объект 10,Каркас,140,2026-02,Отделка,276400,334255,57855
Объект 10,Каркас,140,2026-02,Работы,193222,210114,16892
Объект 11,Газобетон,120,2026-02,Фундамент,228453,251892,23439
Объект 11,Газобетон,120,2026-02,Стены,199433,196719,-2714
Объект 11,Газобетон,120,2026-02,Кровля,188708,214018,25310
Объект 11,Газобетон,120,2026-02,Окна и двери,163509,186854,23345
Объект 11,Газобетон,120,2026-02,Инженерка,245068,281935,36867
Объект 11,Газобетон,120,2026-02,Отделка,226844,280487,53643
Объект 11,Газобетон,120,2026-02,Работы,184492,196339,11847
Объект 12,Брус,120,2025-09,Фундамент,172831,170604,-2227
Объект 12,Брус,120,2025-09,Стены,163939,165291,1352
Объект 12,Брус,120,2025-09,Кровля,203665,232773,29108
Объект 12,Брус,120,2025-09,Окна и двери,229533,235845,6312
Объект 12,Брус,120,2025-09,Инженерка,213964,285274,71310
Объект 12,Брус,120,2025-09,Отделка,214244,241759,27515
Объект 12,Брус,120,2025-09,Работы,241810,267605,25795
