Участник,Сфера,Вступил,"Взнос, ₽",Посещений за год,Привёл гостей,Продление
Участник 1,Инженерка,до 2025-09,60000,2,6,нет
Участник 2,Инженерка,2025-09,90000,10,3,под вопросом
Участник 3,Проектирование,до 2025-09,60000,10,5,под вопросом
Участник 4,Материалы,до 2025-09,90000,7,1,нет
Участник 5,Проектирование,2026-04,60000,3,2,да
Участник 6,Стройка,до 2025-09,90000,2,3,нет
Участник 7,Девелопмент,2026-03,60000,4,4,да
Участник 8,Девелопмент,до 2025-09,60000,8,5,да
Участник 9,Инженерка,до 2025-09,90000,2,5,нет
Участник 10,Стройка,2026-07,150000,3,0,да
Участник 11,Стройка,2026-04,150000,8,1,нет
Участник 12,Стройка,2025-09,90000,10,6,под вопросом
Участник 13,Стройка,2026-04,90000,8,6,нет
Участник 14,Материалы,до 2025-09,150000,9,3,под вопросом
Участник 15,Проектирование,до 2025-09,150000,8,2,да
Участник 16,Инженерка,2025-12,90000,8,1,нет
Участник 17,Проектирование,до 2025-09,150000,1,2,нет
Участник 18,Инженерка,2026-08,150000,2,3,нет
Участник 19,Ремонт,2025-09,60000,7,2,нет
Участник 20,Инженерка,2026-07,90000,6,1,да
Участник 21,Девелопмент,2025-09,90000,8,4,да
Участник 22,Проектирование,2026-02,60000,3,0,под вопросом
Участник 23,Стройка,до 2025-09,90000,2,3,под вопросом
Участник 24,Девелопмент,2026-07,90000,8,6,под вопросом
Участник 25,Материалы,2026-06,60000,11,0,нет
Участник 26,Стройка,до 2025-09,90000,8,0,да
Участник 27,Ремонт,до 2025-09,150000,6,3,да
Участник 28,Ремонт,2026-08,150000,5,2,да
Участник 29,Девелопмент,2025-10,150000,9,4,да
Участник 30,Материалы,2026-06,90000,1,4,нет
Участник 31,Ремонт,до 2025-09,150000,3,2,нет
Участник 32,Стройка,2025-12,60000,10,4,да
Участник 33,Ремонт,2026-01,90000,0,0,нет
Участник 34,Ремонт,2026-04,60000,6,4,под вопросом
Участник 35,Материалы,до 2025-09,60000,1,2,нет
Участник 36,Стройка,2026-07,60000,3,2,под вопросом
Участник 37,Ремонт,2025-10,90000,11,0,под вопросом
Участник 38,Стройка,до 2025-09,60000,1,6,нет
Участник 39,Ремонт,до 2025-09,60000,11,1,да
Участник 40,Стройка,2026-01,60000,9,1,нет
Участник 41,Ремонт,2026-01,60000,7,0,да
Участник 42,Инженерка,до 2025-09,150000,2,5,нет
Участник 43,Проектирование,до 2025-09,90000,9,1,под вопросом
Участник 44,Стройка,до 2025-09,60000,2,4,нет
Участник 45,Проектирование,до 2025-09,60000,7,0,да
Участник 46,Девелопмент,2026-08,150000,3,4,да
Участник 47,Стройка,до 2025-09,150000,0,4,нет
Участник 48,Инженерка,2026-07,150000,7,5,да
Участник 49,Проектирование,2026-06,150000,3,1,нет
Участник 50,Проектирование,2026-03,60000,1,1,нет
Участник 51,Девелопмент,2026-02,150000,4,0,да
Участник 52,Материалы,2026-02,60000,8,6,да
Участник 53,Ремонт,2026-01,60000,7,6,да
Участник 54,Материалы,2026-04,90000,1,6,нет
Участник 55,Материалы,2025-11,60000,10,2,под вопросом
Участник 56,Стройка,2026-01,90000,0,0,нет
Участник 57,Стройка,2026-01,60000,3,3,да
Участник 58,Ремонт,2026-01,150000,4,5,под вопросом
Участник 59,Инженерка,до 2025-09,60000,9,4,да
Участник 60,Стройка,до 2025-09,90000,8,6,нет
Участник 61,Ремонт,до 2025-09,90000,0,0,да
Участник 62,Ремонт,2026-03,60000,1,6,под вопросом
Участник 63,Девелопмент,до 2025-09,60000,5,6,да
Участник 64,Проектирование,2026-08,150000,8,3,да
Участник 65,Девелопмент,до 2025-09,90000,11,3,нет
Участник 66,Стройка,2026-05,60000,4,2,да
Участник 67,Проектирование,2026-01,90000,3,6,под вопросом
Участник 68,Материалы,2026-01,60000,7,6,под вопросом
Участник 69,Материалы,до 2025-09,60000,5,1,нет
Участник 70,Ремонт,2025-09,60000,9,3,нет
Участник 71,Девелопмент,до 2025-09,60000,0,5,нет
Участник 72,Инженерка,до 2025-09,90000,2,2,да
Участник 73,Девелопмент,2026-02,60000,3,2,да
Участник 74,Ремонт,2025-09,90000,3,3,нет
Участник 75,Инженерка,2026-01,90000,9,5,под вопросом
Участник 76,Стройка,2026-03,60000,2,5,нет
Участник 77,Стройка,2026-05,150000,3,6,да
Участник 78,Девелопмент,до 2025-09,90000,11,3,под вопросом
Участник 79,Материалы,2025-09,90000,7,3,нет
Участник 80,Девелопмент,до 2025-09,90000,3,3,да
