Месяц,Клиент,Откуда пришёл,Формат,"Стоимость, ₽",Повторный,Роль клиента
2025-09,Клиент 1,Рекомендация,Онлайн,6000,нет,собственник
2025-09,Клиент 2,Telegram,Онлайн,6000,да,руководитель
2025-09,Клиент 3,Рекомендация,Онлайн,6000,нет,собственник
2025-09,Клиент 4,Telegram,Личная сессия,7000,нет,собственник
2025-09,Клиент 5,Telegram,Личная сессия,7000,да,специалист
2025-09,Клиент 6,Instagram,Личная сессия,7000,да,руководитель
2025-09,Клиент 7,Рекомендация,Личная сессия,7000,нет,руководитель
2025-09,Клиент 8,Рекомендация,Личная сессия,7000,да,специалист
2025-09,Клиент 9,Рекомендация,Группа,3500,нет,руководитель
2025-09,Клиент 10,Выступление,Онлайн,6000,да,специалист
2025-09,Клиент 11,Instagram,Личная сессия,7000,да,руководитель
2025-09,Клиент 12,Telegram,Онлайн,6000,да,собственник
2025-09,Клиент 13,Выступление,Онлайн,6000,да,собственник
2025-09,Клиент 14,Рекомендация,Онлайн,6000,нет,собственник
2025-09,Клиент 15,Instagram,Личная сессия,7000,нет,руководитель
2025-09,Клиент 16,Telegram,Личная сессия,7000,да,руководитель
2025-09,Клиент 17,Рекомендация,Онлайн,6000,да,специалист
2025-09,Клиент 18,Рекомендация,Онлайн,6000,нет,руководитель
2025-09,Клиент 19,Instagram,Онлайн,6000,нет,собственник
2025-09,Клиент 20,Рекомендация,Группа,3500,да,специалист
2025-09,Клиент 21,Рекомендация,Онлайн,6000,нет,руководитель
2025-09,Клиент 22,Выступление,Группа,3500,да,собственник
2025-09,Клиент 23,Telegram,Онлайн,6000,да,собственник
2025-09,Клиент 24,Рекомендация,Личная сессия,7000,нет,специалист
2025-09,Клиент 25,Telegram,Личная сессия,7000,нет,специалист
2025-09,Клиент 26,Telegram,Онлайн,6000,да,специалист
2025-09,Клиент 27,Рекомендация,Группа,3500,нет,собственник
2025-09,Клиент 28,Рекомендация,Группа,3500,да,руководитель
2025-09,Клиент 29,Сайт,Онлайн,6000,да,собственник
2025-09,Клиент 30,Рекомендация,Группа,3500,да,руководитель
2025-09,Клиент 31,Telegram,Онлайн,6000,да,специалист
2025-09,Клиент 32,Рекомендация,Личная сессия,7000,нет,руководитель
2025-09,Клиент 33,Instagram,Личная сессия,7000,нет,руководитель
2025-09,Клиент 34,Рекомендация,Онлайн,6000,нет,собственник
2025-09,Клиент 35,Рекомендация,Онлайн,6000,нет,собственник
2025-10,Клиент 36,Instagram,Онлайн,6000,да,руководитель
2025-10,Клиент 37,Рекомендация,Онлайн,6000,нет,собственник
2025-10,Клиент 38,Рекомендация,Личная сессия,7000,да,специалист
2025-10,Клиент 39,Instagram,Онлайн,6000,да,руководитель
2025-10,Клиент 40,Сайт,Личная сессия,7000,да,собственник
2025-10,Клиент 41,Рекомендация,Личная сессия,7000,нет,специалист
2025-10,Клиент 42,Рекомендация,Личная сессия,7000,нет,специалист
2025-10,Клиент 43,Рекомендация,Личная сессия,7000,нет,руководитель
2025-10,Клиент 44,Instagram,Группа,3500,нет,собственник
2025-10,Клиент 45,Telegram,Онлайн,6000,нет,собственник
2025-10,Клиент 46,Telegram,Стратегическая сессия,25000,да,руководитель
2025-10,Клиент 47,Telegram,Личная сессия,7000,да,руководитель
2025-10,Клиент 48,Instagram,Личная сессия,7000,да,руководитель
2025-10,Клиент 49,Рекомендация,Онлайн,6000,да,специалист
2025-10,Клиент 50,Рекомендация,Стратегическая сессия,25000,да,собственник
2025-10,Клиент 51,Рекомендация,Личная сессия,7000,нет,руководитель
2025-10,Клиент 52,Instagram,Личная сессия,7000,да,специалист
2025-10,Клиент 53,Telegram,Онлайн,6000,нет,специалист
2025-10,Клиент 54,Сайт,Личная сессия,7000,нет,собственник
2025-10,Клиент 55,Instagram,Группа,3500,да,руководитель
2025-10,Клиент 56,Рекомендация,Личная сессия,7000,нет,собственник
2025-10,Клиент 57,Выступление,Онлайн,6000,да,специалист
2025-10,Клиент 58,Рекомендация,Личная сессия,7000,да,специалист
2025-10,Клиент 59,Instagram,Личная сессия,7000,да,руководитель
2025-10,Клиент 60,Рекомендация,Онлайн,6000,да,руководитель
2025-10,Клиент 61,Telegram,Личная сессия,7000,нет,собственник
2025-10,Клиент 62,Рекомендация,Личная сессия,7000,да,руководитель
2025-10,Клиент 63,Рекомендация,Личная сессия,7000,да,собственник
2025-10,Клиент 64,Рекомендация,Личная сессия,7000,да,собственник
2025-10,Клиент 65,Telegram,Личная сессия,7000,да,собственник
2025-10,Клиент 66,Выступление,Онлайн,6000,нет,специалист
2025-10,Клиент 67,Telegram,Личная сессия,7000,нет,собственник
2025-10,Клиент 68,Рекомендация,Личная сессия,7000,да,собственник
2025-10,Клиент 69,Рекомендация,Личная сессия,7000,да,специалист
2025-10,Клиент 70,Instagram,Онлайн,6000,да,руководитель
2025-10,Клиент 71,Рекомендация,Личная сессия,7000,нет,руководитель
2025-10,Клиент 72,Instagram,Личная сессия,7000,да,специалист
2025-10,Клиент 73,Рекомендация,Стратегическая сессия,25000,да,собственник
2025-10,Клиент 74,Рекомендация,Личная сессия,7000,да,собственник
2025-10,Клиент 75,Instagram,Онлайн,6000,нет,собственник
2025-10,Клиент 76,Рекомендация,Онлайн,6000,нет,собственник
2025-11,Клиент 77,Instagram,Онлайн,6000,нет,руководитель
2025-11,Клиент 78,Сайт,Личная сессия,7000,да,специалист
2025-11,Клиент 79,Сайт,Группа,3500,да,руководитель
2025-11,Клиент 80,Рекомендация,Онлайн,6000,да,специалист
2025-11,Клиент 81,Сайт,Онлайн,6000,да,собственник
2025-11,Клиент 82,Рекомендация,Личная сессия,7000,нет,руководитель
2025-11,Клиент 83,Instagram,Личная сессия,7000,да,руководитель
2025-11,Клиент 84,Instagram,Онлайн,6000,да,руководитель
2025-11,Клиент 85,Instagram,Личная сессия,7000,нет,собственник
2025-11,Клиент 86,Instagram,Группа,3500,нет,руководитель
2025-11,Клиент 87,Рекомендация,Личная сессия,7000,да,собственник
2025-11,Клиент 88,Сайт,Стратегическая сессия,25000,да,собственник
2025-11,Клиент 89,Рекомендация,Личная сессия,7000,нет,собственник
2025-11,Клиент 90,Сайт,Личная сессия,7000,да,специалист
2025-11,Клиент 91,Instagram,Личная сессия,7000,да,собственник
2025-11,Клиент 92,Instagram,Стратегическая сессия,25000,да,руководитель
2025-11,Клиент 93,Telegram,Личная сессия,7000,да,специалист
2025-11,Клиент 94,Telegram,Личная сессия,7000,да,специалист
2025-11,Клиент 95,Telegram,Личная сессия,7000,да,собственник
2025-11,Клиент 96,Telegram,Личная сессия,7000,да,собственник
2025-11,Клиент 97,Рекомендация,Онлайн,6000,да,специалист
2025-11,Клиент 98,Сайт,Личная сессия,7000,да,собственник
2025-11,Клиент 99,Telegram,Личная сессия,7000,да,руководитель
2025-11,Клиент 100,Instagram,Личная сессия,7000,да,специалист
2025-11,Клиент 101,Рекомендация,Личная сессия,7000,да,руководитель
2025-11,Клиент 102,Instagram,Онлайн,6000,да,собственник
2025-11,Клиент 103,Сайт,Личная сессия,7000,да,специалист
2025-11,Клиент 104,Telegram,Личная сессия,7000,да,собственник
2025-11,Клиент 105,Рекомендация,Онлайн,6000,да,руководитель
2025-11,Клиент 106,Выступление,Онлайн,6000,нет,руководитель
2025-11,Клиент 107,Telegram,Онлайн,6000,да,собственник
2025-11,Клиент 108,Рекомендация,Личная сессия,7000,нет,собственник
2025-12,Клиент 109,Рекомендация,Личная сессия,7000,нет,собственник
2025-12,Клиент 110,Выступление,Онлайн,6000,да,специалист
2025-12,Клиент 111,Instagram,Личная сессия,7000,да,собственник
2025-12,Клиент 112,Рекомендация,Онлайн,6000,нет,руководитель
2025-12,Клиент 113,Рекомендация,Стратегическая сессия,25000,да,руководитель
