Месяц,Категория,"Сумма, ₽"
2025-09,Продукты,44163
2025-09,Кафе и доставка,19819
2025-09,"Дети: сад, кружки",39265
2025-09,Здоровье,8440
2025-09,Авто и такси,21134
2025-09,Одежда,13336
2025-09,Дом и ЖКУ,22517
2025-09,Подписки,4600
2025-09,Подарки и праздники,9592
2025-09,Путешествия,0
2025-09,Красота и спорт,9384
2025-09,Прочее,8498
2025-10,Продукты,62912
2025-10,Кафе и доставка,16271
2025-10,"Дети: сад, кружки",34668
2025-10,Здоровье,13775
2025-10,Авто и такси,17619
2025-10,Одежда,16070
2025-10,Дом и ЖКУ,16929
2025-10,Подписки,4600
2025-10,Подарки и праздники,10234
2025-10,Путешествия,0
2025-10,Красота и спорт,13505
2025-10,Прочее,7230
2025-11,Продукты,51628
2025-11,Кафе и доставка,16686
2025-11,"Дети: сад, кружки",32967
2025-11,Здоровье,10955
2025-11,Авто и такси,24463
2025-11,Одежда,8616
2025-11,Дом и ЖКУ,21949
2025-11,Подписки,4600
2025-11,Подарки и праздники,8037
2025-11,Путешествия,0
2025-11,Красота и спорт,12693
2025-11,Прочее,7803
2025-12,Продукты,45108
2025-12,Кафе и доставка,19408
2025-12,"Дети: сад, кружки",33684
2025-12,Здоровье,11776
2025-12,Авто и такси,26463
2025-12,Одежда,18392
2025-12,Дом и ЖКУ,20544
2025-12,Подписки,5500
2025-12,Подарки и праздники,42000
2025-12,Путешествия,0
2025-12,Красота и спорт,12142
2025-12,Прочее,5798
2026-01,Продукты,60036
2026-01,Кафе и доставка,11199
2026-01,"Дети: сад, кружки",34615
2026-01,Здоровье,7464
2026-01,Авто и такси,18195
2026-01,Одежда,11592
2026-01,Дом и ЖКУ,21875
2026-01,Подписки,5500
2026-01,Подарки и праздники,8568
2026-01,Путешествия,210000
2026-01,Красота и спорт,9396
2026-01,Прочее,9755
2026-02,Продукты,42858
2026-02,Кафе и доставка,15998
2026-02,"Дети: сад, кружки",40592
2026-02,Здоровье,14655
2026-02,Авто и такси,16687
2026-02,Одежда,20229
2026-02,Дом и ЖКУ,22382
2026-02,Подписки,5500
2026-02,Подарки и праздники,9703
2026-02,Путешествия,0
2026-02,Красота и спорт,11358
2026-02,Прочее,8831
2026-03,Продукты,60654
2026-03,Кафе и доставка,14731
2026-03,"Дети: сад, кружки",45042
2026-03,Здоровье,12906
2026-03,Авто и такси,23216
2026-03,Одежда,13432
2026-03,Дом и ЖКУ,19694
2026-03,Подписки,6400
2026-03,Подарки и праздники,6507
2026-03,Путешествия,0
2026-03,Красота и спорт,12444
2026-03,Прочее,8799
2026-04,Продукты,50894
2026-04,Кафе и доставка,22141
2026-04,"Дети: сад, кружки",22283
2026-04,Здоровье,12267
2026-04,Авто и такси,25312
2026-04,Одежда,19012
2026-04,Дом и ЖКУ,18089
2026-04,Подписки,6400
2026-04,Подарки и праздники,6466
2026-04,Путешествия,0
2026-04,Красота и спорт,9450
2026-04,Прочее,8394
2026-05,Продукты,61275
2026-05,Кафе и доставка,24048
2026-05,"Дети: сад, кружки",26843
2026-05,Здоровье,13000
2026-05,Авто и такси,28032
2026-05,Одежда,15503
2026-05,Дом и ЖКУ,20685
2026-05,Подписки,6400
2026-05,Подарки и праздники,6872
2026-05,Путешествия,0
2026-05,Красота и спорт,12524
2026-05,Прочее,10640
2026-06,Продукты,68929
2026-06,Кафе и доставка,25162
2026-06,"Дети: сад, кружки",28919
2026-06,Здоровье,14188
2026-06,Авто и такси,19923
2026-06,Одежда,12513
2026-06,Дом и ЖКУ,22312
2026-06,Подписки,7300
2026-06,Подарки и праздники,7119
2026-06,Путешествия,0
2026-06,Красота и спорт,12449
2026-06,Прочее,8636
2026-07,Продукты,55548
2026-07,Кафе и доставка,24414
2026-07,"Дети: сад, кружки",26840
2026-07,Здоровье,9617
2026-07,Авто и такси,21616
2026-07,Одежда,9979
2026-07,Дом и ЖКУ,14400
2026-07,Подписки,7300
2026-07,Подарки и праздники,9806
2026-07,Путешествия,210000
2026-07,Красота и спорт,12096
2026-07,Прочее,9192
2026-08,Продукты,33083
2026-08,Кафе и доставка,20697
2026-08,"Дети: сад, кружки",32803
2026-08,Здоровье,9191
2026-08,Авто и такси,21100
2026-08,Одежда,12085
2026-08,Дом и ЖКУ,17955
2026-08,Подписки,7300
2026-08,Подарки и праздники,9272
2026-08,Путешествия,0
2026-08,Красота и спорт,12402
2026-08,Прочее,10300
