Месяц,"Выручка, ₽","Себестоимость, ₽","Зарплаты, ₽","Аренда, ₽","Реклама, ₽","Прочее, ₽","Прибыль, ₽",Заявок,Жалоб
2025-09,1586446,647954,520000,110000,107659,62030,138803,333,3
2025-10,1646706,654236,520000,110000,86645,62356,213469,260,4
2025-11,1778288,682268,520000,110000,99164,65984,300872,278,3
2025-12,1622529,676424,520000,110000,106585,70370,139150,333,2
2026-01,1361024,565836,520000,110000,87699,80330,-2841,190,3
2026-02,1516651,686867,520000,110000,93157,266176,-159549,240,5
2026-03,1257744,553908,520000,110000,115256,61475,-102895,216,5
2026-04,1104165,487927,520000,110000,123854,59549,-197165,263,2
2026-05,980690,420955,520000,110000,97049,64897,-232211,320,2
2026-06,1204132,528751,520000,110000,95389,62501,-112509,314,5
2026-07,1306666,570372,520000,110000,91075,50655,-35436,277,2
2026-08,1515916,654045,520000,110000,78159,49275,104437,315,6
